TABLE NO.  1
 ID          AMT         DV          PRED        RES         WRES
  5.0000E+00  0.0000E+00  3.9100E-01  4.0849E-01 -1.7486E-02  2.6988E-01
  5.0000E+00  0.0000E+00  2.0100E-01  3.4940E-01 -1.4840E-01 -4.2797E-01
  5.0000E+00  0.0000E+00  1.3600E-01  2.7644E-01 -1.4044E-01 -5.1750E-01
  5.0000E+00  0.0000E+00  0.0000E+00  1.1714E-01  0.0000E+00  0.0000E+00
  5.0000E+00  6.0000E+00  0.0000E+00  1.1711E-01  0.0000E+00  0.0000E+00
  5.0000E+00  0.0000E+00  4.8200E-01  1.2005E+00 -7.1849E-01 -3.2207E-01
  5.0000E+00  0.0000E+00  1.7410E+00  1.9224E+00 -1.8137E-01  4.9246E-01
  5.0000E+00  0.0000E+00  1.7370E+00  2.6335E+00 -8.9653E-01 -3.5708E-02
  5.0000E+00  0.0000E+00  1.3920E+00  2.6156E+00 -1.2236E+00 -3.9341E-01
  5.0000E+00  0.0000E+00  1.4810E+00  2.0589E+00 -5.7787E-01 -1.1680E-01
  5.0000E+00  0.0000E+00  1.5700E+00  1.5461E+00  2.3916E-02  3.6058E-01
  5.0000E+00  0.0000E+00  5.6800E-01  6.1714E-01 -4.9141E-02  1.6653E-01
  5.0000E+00  0.0000E+00  4.9700E-01  5.7069E-01 -7.3688E-02  8.7320E-02
  5.0000E+00  0.0000E+00  2.7100E-01  4.8801E-01 -2.1701E-01 -4.7948E-01
  5.0000E+00  0.0000E+00  2.5700E-01  4.1731E-01 -1.6031E-01 -3.2250E-01
  5.0000E+00  0.0000E+00  2.3500E-01  3.2999E-01 -9.4993E-02 -8.7961E-02
  5.0000E+00  6.0000E+00  0.0000E+00  1.3938E-01  0.0000E+00  0.0000E+00
  5.0000E+00  6.0000E+00  0.0000E+00  1.4337E-01  0.0000E+00  0.0000E+00
  5.0000E+00  6.0000E+00  0.0000E+00  1.4414E-01  0.0000E+00  0.0000E+00
  5.0000E+00  6.0000E+00  0.0000E+00  1.4607E-01  0.0000E+00  0.0000E+00
  5.0000E+00  6.0000E+00  0.0000E+00  1.4297E-01  0.0000E+00  0.0000E+00
  5.0000E+00  6.0000E+00  0.0000E+00  1.4556E-01  0.0000E+00  0.0000E+00
  6.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.0000E+00  6.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.0000E+00  0.0000E+00  1.1520E+00  1.0836E+00  6.8427E-02  1.7084E-01
  6.0000E+00  0.0000E+00  2.5740E+00  1.8056E+00  7.6836E-01  8.1457E-01
  6.0000E+00  0.0000E+00  1.7840E+00  2.5172E+00 -7.3318E-01 -4.4579E-01
  6.0000E+00  0.0000E+00  1.5770E+00  2.5000E+00 -9.2304E-01 -6.0124E-01
  6.0000E+00  0.0000E+00  1.3710E+00  1.9440E+00 -5.7303E-01 -4.4684E-01
  6.0000E+00  0.0000E+00  1.4540E+00  1.4320E+00  2.2012E-02  1.1571E-01
  6.0000E+00  0.0000E+00  6.9200E-01  5.6326E-01  1.2874E-01  7.8112E-02
  6.0000E+00  0.0000E+00  6.3500E-01  5.1705E-01  1.1795E-01 -1.5416E-02
  6.0000E+00  0.0000E+00  5.6900E-01  4.7808E-01  9.0919E-02 -1.7888E-01
  6.0000E+00  0.0000E+00  4.4100E-01  4.0838E-01  3.2620E-02 -5.9469E-01
  6.0000E+00  0.0000E+00  3.3000E-01  3.4959E-01 -1.9592E-02 -1.0712E+00
  6.0000E+00  0.0000E+00  3.1000E-01  2.7629E-01  3.3709E-02 -1.0605E+00
  6.0000E+00  0.0000E+00  4.4100E-01  1.1613E-01  3.2487E-01  1.8215E+00
  6.0000E+00  6.0000E+00  0.0000E+00  1.1610E-01  0.0000E+00  0.0000E+00
  6.0000E+00  0.0000E+00  1.5760E+00  1.1995E+00  3.7652E-01  4.8363E-01
  6.0000E+00  0.0000E+00  2.1420E+00  1.9214E+00  2.2064E-01  2.1443E-01
  6.0000E+00  0.0000E+00  2.0690E+00  2.6325E+00 -5.6353E-01 -3.5007E-01
  6.0000E+00  0.0000E+00  1.8610E+00  2.6146E+00 -7.5363E-01 -4.9501E-01
  6.0000E+00  0.0000E+00  2.0650E+00  2.0579E+00  7.1239E-03  5.6777E-02
  6.0000E+00  0.0000E+00  2.4640E+00  1.5451E+00  9.1890E-01  1.1069E+00
  6.0000E+00  0.0000E+00  1.4130E+00  6.7188E-01  7.4112E-01  1.5009E+00
  6.0000E+00  0.0000E+00  1.0020E+00  6.1617E-01  3.8583E-01  4.7466E-01
  6.0000E+00  0.0000E+00  7.9400E-01  5.6989E-01  2.2411E-01 -7.0075E-02
  6.0000E+00  0.0000E+00  8.1100E-01  4.8733E-01  3.2367E-01  2.4069E-01
